system,confidence,precision_iou10,recall_iou10,f1_iou10,pred
Raw native,0.85,1.0,0.009345794392523364,0.018518518518518517,1
Raw native,0.875,1.0,0.009345794392523364,0.018518518518518517,1
Raw native,0.9,0.0,0.0,0.0,0
Raw + RMR-Net,0.1,0.43548387096774194,0.2523364485981308,0.3195266272189349,62
Raw + RMR-Net,0.125,0.46551724137931033,0.2523364485981308,0.32727272727272727,58
Raw + RMR-Net,0.15000000000000002,0.4909090909090909,0.2523364485981308,0.3333333333333333,55
Raw + RMR-Net,0.17500000000000002,0.49056603773584906,0.24299065420560748,0.32499999999999996,53
Raw + RMR-Net,0.2,0.52,0.24299065420560748,0.3312101910828026,50
Raw + RMR-Net,0.225,0.5102040816326531,0.2336448598130841,0.3205128205128205,49
Raw + RMR-Net,0.25,0.48936170212765956,0.21495327102803738,0.2987012987012987,47
Raw + RMR-Net,0.275,0.5,0.205607476635514,0.2913907284768212,44
Raw + RMR-Net,0.30000000000000004,0.5121951219512195,0.19626168224299065,0.28378378378378377,41
Raw + RMR-Net,0.325,0.5128205128205128,0.18691588785046728,0.273972602739726,39
Raw + RMR-Net,0.35,0.5555555555555556,0.18691588785046728,0.2797202797202797,36
Raw + RMR-Net,0.375,0.5862068965517241,0.1588785046728972,0.24999999999999997,29
Raw + RMR-Net,0.4,0.6296296296296297,0.1588785046728972,0.2537313432835821,27
Raw + RMR-Net,0.42500000000000004,0.6153846153846154,0.14953271028037382,0.24060150375939848,26
Raw + RMR-Net,0.45000000000000007,0.6363636363636364,0.1308411214953271,0.21705426356589144,22
Raw + RMR-Net,0.475,0.6363636363636364,0.1308411214953271,0.21705426356589144,22
Raw + RMR-Net,0.5,0.6363636363636364,0.1308411214953271,0.21705426356589144,22
Raw + RMR-Net,0.525,0.6363636363636364,0.1308411214953271,0.21705426356589144,22
Raw + RMR-Net,0.55,0.6666666666666666,0.11214953271028037,0.192,18
Raw + RMR-Net,0.5750000000000001,0.6666666666666666,0.11214953271028037,0.192,18
Raw + RMR-Net,0.6,0.7058823529411765,0.11214953271028037,0.1935483870967742,17
Raw + RMR-Net,0.625,0.7333333333333333,0.102803738317757,0.18032786885245902,15
Raw + RMR-Net,0.65,0.7333333333333333,0.102803738317757,0.18032786885245902,15
Raw + RMR-Net,0.675,0.7333333333333333,0.102803738317757,0.18032786885245902,15
Raw + RMR-Net,0.7000000000000001,0.7333333333333333,0.102803738317757,0.18032786885245902,15
Raw + RMR-Net,0.725,0.7142857142857143,0.09345794392523364,0.16528925619834708,14
Raw + RMR-Net,0.75,0.6923076923076923,0.08411214953271028,0.15,13
Raw + RMR-Net,0.775,0.8181818181818182,0.08411214953271028,0.15254237288135594,11
Raw + RMR-Net,0.8,1.0,0.056074766355140186,0.10619469026548672,6
Raw + RMR-Net,0.8250000000000001,1.0,0.028037383177570093,0.05454545454545455,3
Raw + RMR-Net,0.85,1.0,0.009345794392523364,0.018518518518518517,1
Raw + RMR-Net,0.875,1.0,0.009345794392523364,0.018518518518518517,1
Raw + RMR-Net,0.9,0.0,0.0,0.0,0
Raw + NAFNet-road,0.1,0.345679012345679,0.2616822429906542,0.29787234042553185,81
Raw + NAFNet-road,0.125,0.358974358974359,0.2616822429906542,0.30270270270270266,78
Raw + NAFNet-road,0.15000000000000002,0.37333333333333335,0.2616822429906542,0.3076923076923077,75
Raw + NAFNet-road,0.17500000000000002,0.38571428571428573,0.2523364485981308,0.30508474576271183,70
Raw + NAFNet-road,0.2,0.4126984126984127,0.24299065420560748,0.30588235294117644,63
Raw + NAFNet-road,0.225,0.423728813559322,0.2336448598130841,0.3012048192771084,59
Raw + NAFNet-road,0.25,0.43859649122807015,0.2336448598130841,0.3048780487804878,57
Raw + NAFNet-road,0.275,0.42592592592592593,0.21495327102803738,0.2857142857142857,54
Raw + NAFNet-road,0.30000000000000004,0.44,0.205607476635514,0.2802547770700637,50
Raw + NAFNet-road,0.325,0.45652173913043476,0.19626168224299065,0.27450980392156865,46
Raw + NAFNet-road,0.35,0.4878048780487805,0.18691588785046728,0.27027027027027023,41
Raw + NAFNet-road,0.375,0.4857142857142857,0.1588785046728972,0.23943661971830987,35
Raw + NAFNet-road,0.4,0.53125,0.1588785046728972,0.24460431654676257,32
