run,mode,iou,images,gt,pred,tp,fp,fn,precision,recall,f1
rmr_dual_evidence,class,0.1,44,167,137,63,74,104,0.45985401459854014,0.3772455089820359,0.4144736842105263
rmr_dual_evidence,class,0.25,44,167,137,59,78,108,0.4306569343065693,0.3532934131736527,0.3881578947368421
rmr_dual_evidence,class,0.5,44,167,137,41,96,126,0.29927007299270075,0.24550898203592814,0.26973684210526316
rmr_dual_evidence,primary_success,-1,44,167,137,75,,92,,0.4491017964071856,
nafnet,primary,0.1,44,167,110,42,68,125,0.38181818181818183,0.25149700598802394,0.30324909747292417
nafnet,primary,0.25,44,167,110,39,71,128,0.35454545454545455,0.23353293413173654,0.2815884476534296
nafnet,primary,0.5,44,167,110,30,80,137,0.2727272727272727,0.17964071856287425,0.21660649819494587
nafnet,class,0.1,44,167,110,39,71,128,0.35454545454545455,0.23353293413173654,0.2815884476534296
nafnet,class,0.25,44,167,110,38,72,129,0.34545454545454546,0.2275449101796407,0.2743682310469314
nafnet,class,0.5,44,167,110,29,81,138,0.2636363636363636,0.17365269461077845,0.20938628158844766
nafnet,primary_success,-1,44,167,110,45,,122,,0.2694610778443114,
dfpir,primary,0.1,44,167,112,41,71,126,0.36607142857142855,0.24550898203592814,0.2939068100358423
dfpir,primary,0.25,44,167,112,39,73,128,0.3482142857142857,0.23353293413173654,0.27956989247311825
dfpir,primary,0.5,44,167,112,28,84,139,0.25,0.16766467065868262,0.20071684587813618
dfpir,class,0.1,44,167,112,40,72,127,0.35714285714285715,0.23952095808383234,0.28673835125448033
dfpir,class,0.25,44,167,112,39,73,128,0.3482142857142857,0.23353293413173654,0.27956989247311825
dfpir,class,0.5,44,167,112,28,84,139,0.25,0.16766467065868262,0.20071684587813618
dfpir,primary_success,-1,44,167,112,42,,125,,0.25149700598802394,
demoe_auto,primary,0.1,44,167,99,49,50,118,0.494949494949495,0.2934131736526946,0.3684210526315789
demoe_auto,primary,0.25,44,167,99,45,54,122,0.45454545454545453,0.2694610778443114,0.3383458646616541
demoe_auto,primary,0.5,44,167,99,37,62,130,0.37373737373737376,0.2215568862275449,0.2781954887218045
demoe_auto,class,0.1,44,167,99,45,54,122,0.45454545454545453,0.2694610778443114,0.3383458646616541
demoe_auto,class,0.25,44,167,99,43,56,124,0.43434343434343436,0.25748502994011974,0.3233082706766917
demoe_auto,class,0.5,44,167,99,36,63,131,0.36363636363636365,0.2155688622754491,0.27067669172932335
demoe_auto,primary_success,-1,44,167,99,51,,116,,0.30538922155688625,
demoe_scenario,primary,0.1,44,167,99,45,54,122,0.45454545454545453,0.2694610778443114,0.3383458646616541
demoe_scenario,primary,0.25,44,167,99,42,57,125,0.42424242424242425,0.25149700598802394,0.3157894736842105
demoe_scenario,primary,0.5,44,167,99,33,66,134,0.3333333333333333,0.19760479041916168,0.24812030075187966
demoe_scenario,class,0.1,44,167,99,42,57,125,0.42424242424242425,0.25149700598802394,0.3157894736842105
demoe_scenario,class,0.25,44,167,99,40,59,127,0.40404040404040403,0.23952095808383234,0.3007518796992481
demoe_scenario,class,0.5,44,167,99,31,68,136,0.31313131313131315,0.18562874251497005,0.23308270676691728
demoe_scenario,primary_success,-1,44,167,99,48,,119,,0.2874251497005988,
instructir_generic,primary,0.1,44,167,96,49,47,118,0.5104166666666666,0.2934131736526946,0.37262357414448666
instructir_generic,primary,0.25,44,167,96,45,51,122,0.46875,0.2694610778443114,0.3422053231939164
instructir_generic,primary,0.5,44,167,96,35,61,132,0.3645833333333333,0.20958083832335328,0.2661596958174905
instructir_generic,class,0.1,44,167,96,44,52,123,0.4583333333333333,0.2634730538922156,0.33460076045627374
instructir_generic,class,0.25,44,167,96,42,54,125,0.4375,0.25149700598802394,0.3193916349809886
instructir_generic,class,0.5,44,167,96,33,63,134,0.34375,0.19760479041916168,0.2509505703422053
instructir_generic,primary_success,-1,44,167,96,53,,114,,0.31736526946107785,
instructir_metadata,primary,0.1,44,167,105,44,61,123,0.41904761904761906,0.2634730538922156,0.3235294117647059
instructir_metadata,primary,0.25,44,167,105,41,64,126,0.3904761904761905,0.24550898203592814,0.3014705882352941
instructir_metadata,primary,0.5,44,167,105,30,75,137,0.2857142857142857,0.17964071856287425,0.22058823529411767
instructir_metadata,class,0.1,44,167,105,40,65,127,0.38095238095238093,0.23952095808383234,0.29411764705882354
